reaction,rba,pfba,weighted pfba
ACACT1r,0.5998796224594116,18.895663360522526,0.00015431026057303543
ACACT2r,0.5998796224594116,18.895663360522676,0.0001543102607163289
ACACT3r,0.5998796224594116,18.89566336052278,0.00015431026052550368
ACACT4r,0.600208044052124,18.89283045684063,0.00015431026075016094
ACACT5r,0.6015849113464355,18.891778265795054,0.00015431026025743475
ACACT6r,0.6029677391052246,18.890764754522444,0.0001543102604758263
ACACT7r,0.6067115068435669,18.887335590977223,0.00015460905071560985
ACACT8r,0.6086182594299316,18.88576194752267,0.00015446763821465502
ACALD,0.6086182594299316,18.88547240179531,0.0001544225189760652
ACKr,0.6085842847824097,18.920507226233838,0.00015444868416711335
ACOAD1f,0.5998796224594116,18.895663360522548,0.00015431026076242628
ACOAD2f,0.5998796224594116,18.895663360522718,0.00015431026081200744
ACOAD3f,0.5998796224594116,18.895663360522523,0.00015431026066684627
ACOAD4f,0.600208044052124,18.892830456840706,0.00015431026034699137
ACOAD5f,0.6015849113464355,18.891778265795118,0.00015431026030573325
ACOAD6f,0.6058406829833984,18.888106424749964,0.00015431026067331364
ACOAD7f,0.6077414751052856,18.886484245795167,0.00015441059757215873
ACOATA,0.6086182594299316,18.885472401795433,0.00015440320927083762
ADK1,0.6057780981063843,18.88800715079525,0.0001543102603366327
ADK3,0.6086182594299316,18.88547240179537,0.000154430324636933
ALATA_L,0.606151819229126,18.886021646795268,0.00015431026079550924
ARBt2rpp,0.6086182594299316,18.885472401795415,0.00015431026058990282
ARGAGMt7pp,0.6086182594299316,18.8854724017953,0.00015431026064357444
ASPt2pp_copy2,0.6086182594299316,18.88547240179543,0.00015431026068903495
ATPS4rpp,0.4722404479980469,34.20547017666613,0.0004601461300538357
CBMKr,0.5956834554672241,18.8925443319773,0.00015590343013700372
CO2tpp,0.5946499109268188,20.148872426649945,0.00015431047633889222
CRNDt2rpp,0.6086182594299316,18.88547240179543,0.0001543102608066758
CTECOAI6,0.6086182594299316,18.885472401795333,0.0001543102608267989
CTECOAI7,0.6075853109359741,18.886034201249927,0.00015450871426575405
CTECOAI8,0.6086182594299316,18.885761947522546,0.00015452738268758117
CYTK1,0.5993705987930298,18.888822713159026,0.00015436186019221118
CYTK2,0.6086182594299316,18.885472401795372,0.00015431026046917984
DADK,0.6086182594299316,18.885472401795273,0.00015431026038787498
DGK1,0.6086182594299316,18.885472401795408,0.00015431026036683593
DURIPP,0.6086182594299316,18.88547240179534,0.00015431026077760427
ECOAH1,0.5998796224594116,18.8956633605224,0.00015431026064161382
ECOAH2,0.5998796224594116,18.89566336052264,0.00015431026089941796
ECOAH3,0.5998796224594116,18.89566336052246,0.00015431026081325668
ECOAH4,0.600208044052124,18.892830456840706,0.00015431026060150671
ECOAH5,0.6015849113464355,18.891778265795118,0.0001543102606285331
ECOAH6,0.6029677391052246,18.890764754522515,0.0001543102606307052
ECOAH7,0.6067115068435669,18.887335590977223,0.00015460905109291318
ECOAH8,0.6086182594299316,18.88576194752274,0.0001544676385693511
ENO,0.41160523891448975,20.590508232929356,0.0001548884533543272
F6PA,0.6086182594299316,19.059187446478653,0.0001543102608248979
FBA,0.595848560333252,18.88948079238628,0.0001547748471836155
FUM,0.5937755107879639,18.913694385606103,0.0001543409913916436
GAPD,0.3531080484390259,21.170001047740698,0.00015488845318929794
GARFT,0.6071120500564575,18.887551403454363,0.00015431026069857162
GHMT2r,0.5854499340057373,18.91074435645439,0.00016801272493902118
GLUDy,0.4486948251724243,18.933972686363525,0.0001543102603504435
GLUt2rpp,0.6086182594299316,18.88547240179542,0.00015431026067353392
GLYAT,0.6086182594299316,18.885472401795408,0.00015525425158551573
GLYCtpp,0.6086182594299316,18.885490477613416,0.00015431124399774922
H2Otpp,0.39198577404022217,22.636573869166412,0.0003350257615883789
HACD1,0.5998796224594116,18.89566336052257,0.0001543102603177819
HACD2,0.5998796224594116,18.895663360522633,0.000154310260744022
HACD3,0.5998796224594116,18.895663360522654,0.00015431026087414236
HACD4,0.600208044052124,18.892830456840702,0.00015431026069772253
HACD5,0.6015849113464355,18.891778265795246,0.00015431026067298806
HACD6,0.6029677391052246,18.890764754522575,0.0001543102603136245
HACD7,0.6067115068435669,18.887335590977052,0.00015460905127600953
HACD8,0.6086182594299316,18.885761947522585,0.0001544676386659162
ICHORS_copy1,0.6086182594299316,18.885472401795298,0.00015431225804025015
IDOND,0.6086182594299316,18.885472401795408,0.0001543102607487014
INDOLEt2rpp,0.6086182594299316,18.885472401795344,0.0001543102606955698
IPDDI,0.6086182594299316,18.88547240179542,0.00015431026069018833
LDH_D,0.6086182594299316,18.885472401795337,0.00015437607571132497
MDH,0.6081050634384155,18.901453258742457,0.00015431026082282062
MG2t3_2pp,0.6086128950119019,18.885488157522435,0.00015431026079388983
MOX,,18.88547587252267,0.00015431026096486626
MTHFC,0.5918389558792114,18.90562381972716,0.00015493016686163872
MTHFD,0.5918389558792114,18.905623819727293,0.00015493016711467904
NDPK1,0.6039267778396606,18.886225057340834,0.00015431026061548991
NDPK3,0.6001245975494385,18.888111776386253,0.00015436186067403578
NDPK5,0.6086182594299316,18.885472401795415,0.00015431026061416185
NDPK7,0.6086182594299316,18.885472401795408,0.00015431026062528367
NDPK8,0.6086182594299316,18.885472401795408,0.0001543102606207093
PGI,0.6086182594299316,19.19353338093872,0.00015431026067161714
PGK,0.3531080484390259,21.170001047740676,0.00015488845147847334
PGM,0.41160523891448975,20.590508232929277,0.00015488845318879167
PIt2rpp,0.6049996614456177,18.88905455679546,0.00015431026060748343
POR5,0.6083053350448608,18.885487055431675,0.00015432538457038844
PPK2,0.6086182594299316,18.885473476249945,0.00015431026091875232
PPK,0.6086182594299316,18.902750517431492,0.00015435873373764348
PPM,0.606648325920105,18.885480716795414,0.0001548853972956
PRPPS,0.6086182594299316,18.886377379795253,0.00015473819597505245
PTAr,0.6085842847824097,18.920507226233923,0.0001544486842580893
PUNP1,0.6085866689682007,18.885480716795286,0.0001543102607826463
PUNP2,0.6086182594299316,18.885472401795273,0.000154310260729869
PUNP3,0.6086182594299316,18.88547240179532,0.0001543102608430712
PUNP5,0.6086182594299316,18.885472401795376,0.00015431026066698778
PUNP7,0.6086182594299316,18.885472401795298,0.0001543102606770002
PYNP2r,0.6086182594299316,18.885472401795344,0.0001543102606822866
RPE,0.6012362241744995,18.885487835567886,0.0001543102608229937
RPI,0.0,19.41679479524952,0.009939494514488592
SUCOAS,0.6086182594299316,18.89607670083321,0.00015433712677329268
TALA,0.6054776906967163,18.885472401795415,0.0001543102606870529
THRt2rpp,0.6086182594299316,18.885472401795415,0.00015431026082111078
TKT1,0.5989927053451538,18.885502041795387,0.0001561775772258526
TKT2,0.6030827760696411,18.88631573534088,0.000157507740009001
TPI,0.5953735113143921,19.20080015249988,0.0001543124298425799
TRPAS2,0.6081283092498779,18.88574606115902,0.0001543102607485804
TRSARr,0.6086182594299316,18.885472401795273,0.00015431026067533058
VALTA,0.6086182594299316,18.88588358579543,0.0001545126244760813
VPAMTr,0.6084734201431274,18.885472401795433,0.00015442598684539514
XYLI2,0.6086182594299316,18.885472401795408,0.0001543279279249091
