mode,0,1,2,3,4,5,,,,,,,,,,,,,,,
counts,437,30,13409,648,1,25,,,,,,,,,,,,,,,
probability,0.44,0.03,13.4,0.65,0,0.02,,,,,,,,,,,,,,,
AA cost/gr,4.746478413,4.746478413,4.746476622,4.746476622,4.745572396,4.745569918,,,,,,,,,,,,,,,
AA cost,2.886340582,2.886340582,2.886356467,2.886356467,2.888227868,2.888240503,,,,,,,,,,,,,,,
growth rate,0.608101487,0.608101487,0.608105063,0.608105063,0.608615279,0.608618259,,,,,,,,,,,,,,,
ATPS4r,1,1,1,1,1,1,,,,,,,,,,,,,,,
ENO,1,1,1,1,1,1,,,,,,,,,,,,,,,
FBA,1,1,1,1,1,1,,,,,,,,,,,,,,,
FUM,-1,-1,1,1,-1,1,,,,,,,,,,,,,,,
GAPD,1,1,1,1,1,1,,,,,,,,,,,,,,,
MDH,-1,-1,-1,-1,1,1,,,,,,,,,,,,,,,
PGI,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,
PGK,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,
PGM,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,
PIt2r,-1,1,-1,1,-1,-1,,,,,,,,,,,,,,,
RPE,1,1,1,1,1,1,,,,,,,,,,,,,,,
TALA,1,1,1,1,1,1,,,,,,,,,,,,,,,
TKT1,1,1,1,1,1,1,,,,,,,,,,,,,,,
TKT2,1,1,1,1,1,1,,,,,,,,,,,,,,,
TPI,1,1,1,1,1,1,,,,,,,,,,,,,,,
PIt2r_H2PO4,1,1,1,1,1,1,,,,,,,,,,,,,,,
mode,6,7,8,9,10,11,,,,,,,,,,,,,,,
counts,1,1,3045,160,1,78072,,,,,,,,,,,,,,,
probability,0,0,3.04,0.16,0,77.99,,,,,,,,,,,,,,,
AA cost/gr,4.745569918,4.803970032,4.746479749,4.746479749,4.80396741,4.746478137,,,,,,,,,,,,,,,
AA cost,2.888240503,2.858243762,2.886341394,2.886341394,2.858256519,2.886357389,,,,,,,,,,,,,,,
growth rate,0.608618259,0.594975352,0.608101487,0.608101487,0.594978333,0.608105063,,,,,,,,,,,,,,,
ATPS4r,1,1,1,1,1,1,,,,,,,,,,,,,,,
ENO,1,1,1,1,1,1,,,,,,,,,,,,,,,
FBA,1,1,1,1,1,1,,,,,,,,,,,,,,,
FUM,1,-1,-1,-1,1,1,,,,,,,,,,,,,,,
GAPD,1,1,1,1,1,1,,,,,,,,,,,,,,,
MDH,1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,
PGI,-1,1,1,1,1,1,,,,,,,,,,,,,,,
PGK,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,
PGM,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,
PIt2r,1,1,-1,1,-1,-1,,,,,,,,,,,,,,,
RPE,1,1,1,1,1,1,,,,,,,,,,,,,,,
TALA,1,1,1,1,1,1,,,,,,,,,,,,,,,
TKT1,1,1,1,1,1,1,,,,,,,,,,,,,,,
TKT2,1,1,1,1,1,1,,,,,,,,,,,,,,,
TPI,1,-1,1,1,-1,1,,,,,,,,,,,,,,,
PIt2r_H2PO4,1,1,1,1,1,1,,,,,,,,,,,,,,,
mode,12,13,14,15,16,,,,,,,,,,,,,,,,
counts,4012,8,236,14,unc ,,,,,,,,,,,,,,,,
probability,4.01,0.01,0.24,0.01,0,,,,,,,,,,,,,,,,
AA cost/gr,4.746478137,4.745572957,4.745585182,4.745585182,4.745585182,,,,,,,,,,,,,,,,
AA cost,2.886357389,2.88822821,2.888249793,2.888249793,2.888249793,,,,,,,,,,,,,,,,
growth rate,0.608105063,0.608615279,0.608618259,0.608618259,0.608618259,,,,,,,,,,,,,,,,
ATPS4r,1,1,1,1,unc ,,,,,,,,,,,,,,,,
ENO,1,1,1,1,unc ,,,,,,,,,,,,,,,,
FBA,1,1,1,1,unc ,,,,,,,,,,,,,,,,
FUM,1,-1,1,1,unc ,,,,,,,,,,,,,,,,
GAPD,1,1,1,1,unc ,,,,,,,,,,,,,,,,
MDH,-1,1,1,1,unc ,,,,,,,,,,,,,,,,
PGI,1,1,1,1,unc ,,,,,,,,,,,,,,,,
PGK,-1,-1,-1,-1,unc ,,,,,,,,,,,,,,,,
PGM,-1,-1,-1,-1,unc ,,,,,,,,,,,,,,,,
PIt2r,1,-1,-1,1,unc ,,,,,,,,,,,,,,,,
RPE,1,1,1,1,unc ,,,,,,,,,,,,,,,,
TALA,1,1,1,1,unc ,,,,,,,,,,,,,,,,
TKT1,1,1,1,1,unc ,,,,,,,,,,,,,,,,
TKT2,1,1,1,1,unc ,,,,,,,,,,,,,,,,
TPI,1,1,1,1,unc ,,,,,,,,,,,,,,,,
PIt2r_H2PO4,1,1,1,1,unc ,,,,,,,,,,,,,,,,